"name","ID","CD34High_vs_CD34Low_p.adj","CD34High_vs_CD34Neg_p.adj","CD34Low_vs_CD34Neg_p.adj","CD34High_vs_CD34Low_significant","CD34High_vs_CD34Neg_significant","CD34Low_vs_CD34Neg_significant","significant","CD34High_vs_CD34Low_ratio","CD34High_vs_CD34Neg_ratio","CD34Low_vs_CD34Neg_ratio","CD34High_centered","CD34Low_centered","CD34Neg_centered"
"ALPL","P05186","6.85e-01","1.23e-03","2.45e-06",FALSE,TRUE,TRUE,TRUE,1.27,-4.76,-6.03,-1.16,-2.43,3.6
"CILP","O75339","8.75e-01","3.38e-02","1.24e-01",FALSE,TRUE,FALSE,TRUE,0.793,4.97,4.17,1.92,1.13,-3.05
"CNN2","Q99439","4.64e-02","9.70e-01","5.10e-01",TRUE,FALSE,FALSE,TRUE,-2.17,-0.0504,2.12,-0.741,1.43,-0.691
"COL18A1","P39060","9.43e-01","3.37e-12","1.03e-11",FALSE,TRUE,TRUE,TRUE,-0.151,-7.66,-7.51,-2.6,-2.45,5.05
"CON__ENSEMBL:ENSBTAP00000016046","CON__ENSEMBL:ENSBTAP00000016046","8.82e-01","4.14e-02","1.36e-01",FALSE,TRUE,FALSE,TRUE,-0.702,-4.5,-3.8,-1.74,-1.03,2.77
"CON__Q3Y5Z3","CON__Q3Y5Z3","9.08e-01","3.38e-02","9.61e-02",FALSE,TRUE,FALSE,TRUE,-0.498,-4.18,-3.68,-1.56,-1.06,2.62
"CSPG4","Q6UVK1","8.87e-01","2.06e-03","2.14e-04",FALSE,TRUE,TRUE,TRUE,0.574,-4.88,-5.45,-1.43,-2.01,3.44
"CTNNA1","P35221","1.53e-03","1.10e-01","9.48e-01",TRUE,FALSE,FALSE,TRUE,-3.55,-3.99,-0.441,-2.51,1.04,1.48
"FNDC1","Q4ZHG4","1.82e-02","1.50e-01","9.34e-01",TRUE,FALSE,FALSE,TRUE,4.54,5.63,1.09,3.39,-1.15,-2.24
"GOT1","P17174","3.51e-04","9.71e-01","1.31e-01",TRUE,FALSE,FALSE,TRUE,-3.21,0.0125,3.23,-1.07,2.15,-1.08
"LAMA5","O15230","9.39e-01","5.37e-03","2.57e-03",FALSE,TRUE,TRUE,TRUE,0.235,-4.78,-5.01,-1.51,-1.75,3.26
"MVP","Q14764","9.25e-01","3.12e-02","7.21e-02",FALSE,TRUE,FALSE,TRUE,-0.32,-3.58,-3.26,-1.3,-0.981,2.28
"MYH11","P35749","9.00e-01","1.05e-01","4.14e-02",FALSE,FALSE,TRUE,TRUE,0.59,-3.86,-4.45,-1.09,-1.68,2.77
"MYH9","P35579","9.42e-01","2.99e-02","4.79e-02",FALSE,TRUE,TRUE,TRUE,-0.258,-5.71,-5.46,-1.99,-1.73,3.72
"OGN","P20774","8.47e-01","1.33e-03","1.36e-02",FALSE,TRUE,TRUE,TRUE,0.806,5.47,4.66,2.09,1.29,-3.38
"OMD","Q99983","8.49e-01","1.05e-08","6.61e-07",FALSE,TRUE,TRUE,TRUE,0.644,6.57,5.93,2.41,1.76,-4.17
"TINAGL1","Q9GZM7","8.57e-01","7.08e-02","1.50e-02",FALSE,FALSE,TRUE,TRUE,1.09,-5.64,-6.73,-1.51,-2.61,4.12
"VWA1","Q6PCB0","8.47e-01","1.56e-01","3.99e-02",FALSE,FALSE,TRUE,TRUE,0.709,-2.98,-3.69,-0.759,-1.47,2.23
"A2M","P01023","8.62e-01","4.05e-01","6.69e-01",FALSE,FALSE,FALSE,FALSE,-1.12,-4.38,-3.26,-1.83,-0.71,2.54
